#A394519
#Riesel numbers that have at least three covering sets
#Format:k|C1|C2|C3

1 14995746487|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
2 28299882787|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
3 152078237473|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
4 158736554201|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
5 171366858989|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
6 185819859341|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
7 233256280559|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
8 264547753087|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
9 406962604091|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
10 413526125639|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
11 415392175871|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
12 456683421517|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
13 556295811247|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
14 655745595523|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
15 716619029519|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
16 727938858131|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
17 807536603287|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
18 816092138369|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
19 858897252599|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
20 872192814007|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
21 899266300559|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,73,109}
22 982542795733|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
23 1063578429253|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,37,109}

